movieId,title,genres,overview
1,The Dark Knight,Action|Crime|Drama,Batman fights the Joker in Gotham City. Dark and intense action thriller.
2,Inception,Action|Sci-Fi|Thriller,A thief who steals secrets from dreams is given a chance to erase his past.
3,The Matrix,Action|Sci-Fi,A computer programmer discovers that reality is a simulation and becomes the chosen one.
4,Interstellar,Adventure|Drama|Sci-Fi,A team of astronauts travels through a wormhole in search of a new habitable planet.
5,The Godfather,Crime|Drama,The aging patriarch of a crime dynasty transfers control to his reluctant son.
6,Pulp Fiction,Crime|Drama,The lives of two mob hitmen and other criminals intertwine in Los Angeles.
7,Forrest Gump,Drama|Romance,The story of a simple man who accidentally influences several historical events.
8,Titanic,Drama|Romance,A young aristocrat falls in love with a poor artist aboard the ill-fated Titanic.
9,Avatar,Action|Adventure|Sci-Fi,A marine on an alien planet falls in love with a native and fights his own army.
10,The Avengers,Action|Adventure|Sci-Fi,Earth's mightiest heroes assemble to stop a powerful alien invasion.
11,Joker,Crime|Drama|Thriller,A mentally troubled comedian turns to a life of crime in Gotham City.
12,Gladiator,Action|Adventure|Drama,A betrayed Roman general seeks revenge against the corrupt emperor.